Year,RiceType,CultivatedArea,Production,Yield,ExportQuantity,ExportValue,ImportQuantity,ImportValue,Rain
1971,Aus,3001600,2341e3,0.78,NA,NA,658e3,385e5,43245
1971,Aman,5410700,5695e3,1.05,NA,NA,658e3,385e5,43245
1971,Boro,866400,1738e3,2.01,NA,NA,658e3,385e5,43245
1972,Aus,293e4,2243e3,0.77,NA,NA,171e3,72e6,31969
1972,Aman,5713800,5587e3,0.98,NA,NA,171e3,72e6,31969
1972,Boro,1002600,2071e3,2.07,NA,NA,171e3,72e6,31969
1973,Aus,3107900,2801e3,0.9,NA,NA,58e3,29706e3,48954
1973,Aman,5718700,6699e3,1.17,NA,NA,58e3,29706e3,48954
1973,Boro,1222700,222e4,1.82,NA,NA,58e3,29706e3,48954
1974,Aus,3179100,2859e3,0.9,NA,NA,44e4,26494e3,57175
1974,Aman,5449900,6e6,1.1,NA,NA,44e4,26494e3,57175
1974,Boro,1161200,225e4,1.94,NA,NA,44e4,26494e3,57175
1975,Aus,3419900,3229e3,0.94,NA,NA,28e4,4935e4,45184
1975,Aman,5759900,7045e3,1.22,NA,NA,28e4,4935e4,45184
1975,Boro,1147900,2286e3,1.99,NA,NA,28e4,4935e4,45184
1976,Aus,3217100,3014e3,0.94,NA,NA,404e3,107188e3,52098
1976,Aman,5806400,6905e3,1.19,NA,NA,404e3,107188e3,52098
1976,Boro,854200,165e4,1.93,NA,NA,404e3,107188e3,52098
1977,Aus,3161700,3103e3,0.98,NA,8e3,18e3,31608e3,68815
1977,Aman,5771200,7422e3,1.29,NA,8e3,18e3,31608e3,68815
1977,Boro,1093700,2239e3,2.05,NA,8e3,18e3,31608e3,68815
1978,Aus,3234600,3287e3,1.02,NA,6e3,652e3,7312e4,58789
1978,Aman,5805100,7429e3,1.28,NA,6e3,652e3,7312e4,58789
1978,Boro,1071800,1929e3,1.8,NA,6e3,652e3,7312e4,58789
1979,Aus,3036300,2809e3,0.93,NA,NA,187e3,82e5,50884
1979,Aman,5972700,7303e3,1.22,NA,NA,187e3,82e5,50884
1979,Boro,1148400,2427e3,2.11,NA,NA,187e3,82e5,50884
1980,Aus,3111200,3289e3,1.06,2e4,NA,34e3,122604e3,54868
1980,Aman,6035800,7964e3,1.32,2e4,NA,34e3,122604e3,54868
1980,Boro,116e4,263e4,2.27,2e4,NA,34e3,122604e3,54868
1981,Aus,3145600,327e4,1.04,NA,4e3,247e3,18503e3,67081
1981,Aman,6010300,7209e3,1.2,NA,4e3,247e3,18503e3,67081
1981,Boro,1301700,3152e3,2.42,NA,4e3,247e3,18503e3,67081
1982,Aus,3158100,3065e3,0.97,NA,6837e3,5e4,56146e3,68193
1982,Aman,5993e3,7516e3,1.25,NA,6837e3,5e4,56146e3,68193
1982,Boro,1432800,3548e3,2.48,NA,6837e3,5e4,56146e3,68193
1983,Aus,3138700,3222e3,1.03,NA,NA,642e3,70306e3,82192
1983,Aman,6006700,7843e3,1.31,NA,NA,642e3,70306e3,82192
1983,Boro,1401200,335e4,2.39,NA,NA,642e3,70306e3,82192
1984,Aus,2937600,2783e3,0.95,NA,NA,226e3,38203e3,81387
1984,Aman,5710200,793e4,1.39,NA,NA,226e3,38203e3,81387
1984,Boro,1574400,3909e3,2.48,NA,NA,226e3,38203e3,81387
1985,Aus,2844900,2828e3,0.99,NA,NA,81e3,148918e3,66111
1985,Aman,6018900,8542e3,1.42,NA,NA,81e3,148918e3,66111
1985,Boro,1533200,3671e3,2.39,NA,NA,81e3,148918e3,66111
1986,Aus,2903600,313e4,1.08,NA,NA,724e3,10976e3,73131
1986,Aman,6052400,8267e3,1.37,NA,NA,724e3,10976e3,73131
1986,Boro,1651700,401e4,2.43,NA,NA,724e3,10976e3,73131
1987,Aus,2788300,2993e3,1.07,NA,NA,394e3,4253e4,82998
1987,Aman,5590400,769e4,1.38,NA,NA,394e3,4253e4,82998
1987,Boro,1942600,4731e3,2.44,NA,NA,394e3,4253e4,82998
1988,Aus,2683460,2856e3,1.06,NA,NA,583e3,107649e3,86574
1988,Aman,5100800,6857e3,1.34,NA,NA,583e3,107649e3,86574
1988,Boro,2438300,5831e3,2.39,NA,NA,583e3,107649e3,86574
1989,Aus,2255e3,2475e3,1.1,NA,4e3,123e3,10088e3,66811
1989,Aman,5702500,9202e3,1.61,NA,4e3,123e3,10088e3,66811
1989,Boro,2453600,6033e3,2.46,NA,4e3,123e3,10088e3,66811
1990,Aus,2107300,2261e3,1.07,NA,NA,24e3,67881e3,81433
1990,Aman,5775300,9167e3,1.59,NA,NA,24e3,67881e3,81433
1990,Boro,2547900,6357e3,2.49,NA,NA,24e3,67881e3,81433
1991,Aus,1915900,2179e3,1.14,NA,NA,34e3,2659e3,93729
1991,Aman,5692300,9269e3,1.63,NA,NA,34e3,2659e3,93729
1991,Boro,2634900,6807e3,2.58,NA,NA,34e3,2659e3,93729
1992,Aus,1735100,2075e3,1.2,NA,NA,NA,2644e3,62609
1992,Aman,5843700,968e4,1.66,NA,NA,NA,2644e3,62609
1992,Boro,2598900,6586e3,2.53,NA,NA,NA,2644e3,62609
1993,Aus,1649400,1850200,1.12,NA,15e3,29e4,3616e3,90623
1993,Aman,5843300,9419200,1.61,NA,15e3,29e4,3616e3,90623
1993,Boro,2580800,6772200,2.62,NA,15e3,29e4,3616e3,90623
1994,Aus,1663750,1790700,1.08,NA,117e3,1567e3,13481e3,66470
1994,Aman,5594170,8504e3,1.52,NA,117e3,1567e3,13481e3,66470
1994,Boro,2663540,6538700,2.45,NA,117e3,1567e3,13481e3,66470
1995,Aus,1541850,1676e3,1.09,NA,37e3,665e3,218256e3,78629
1995,Aman,5646400,879e4,1.56,NA,37e3,665e3,218256e3,78629
1995,Boro,2753570,7220600,2.62,NA,37e3,665e3,218256e3,78629
1996,Aus,1592290,187e4,1.17,NA,NA,6e4,253581e3,75670
1996,Aman,5802490,9551e3,1.65,NA,NA,6e4,253581e3,75670
1996,Boro,2782590,746e4,2.68,NA,NA,6e4,253581e3,75670
1997,Aus,1565880,1874600,1.2,NA,25e3,252e4,40264e3,76485
1997,Aman,5808450,8849800,1.52,NA,25e3,252e4,40264e3,76485
