Year,AreaAus,AreaAman,AreaBoro,ProAus,ProAman,ProBoro,YieldAus,YieldAman,YieldBoro,ExportQuantity,ExportValue,ImportQuantity,ImportValue,Rain
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22367
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26358
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25885
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24679
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29145
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32717
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33962
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29318
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40266
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27698
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29975
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46878
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492e3,NA,35845
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229e3,4995e4,36339
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419e3,26508e3,34532
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283e3,44391e3,37074
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82e3,30587e3,46980
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33e4,9497e3,42514
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372e3,42e6,45799
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283e3,54e6,41144
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24e4,39e6,44262
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51e4,29986e3,49142
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348e3,61e6,52633
1971,3001600,5410700,866400,2341e3,5695e3,1738e3,0.78,1.05,2.01,NA,NA,658e3,385e5,43245
1972,293e4,5713800,1002600,2243e3,5587e3,2071e3,0.77,0.98,2.07,NA,NA,171e3,72e6,31969
1973,3107900,5718700,1222700,2801e3,6699e3,222e4,0.9,1.17,1.82,NA,NA,58e3,29706e3,48954
1974,3179100,5449900,1161200,2859e3,6e6,225e4,0.9,1.1,1.94,NA,NA,44e4,26494e3,57175
1975,3419900,5759900,1147900,3229e3,7045e3,2286e3,0.94,1.22,1.99,NA,NA,28e4,4935e4,45184
