Country,Year,Variable,Source,Value,Unit
BANGLADESH,2017,EXPORT QUANTITY,USDA,4000.00,tonnes
BANGLADESH,2016,EXPORT QUANTITY,USDA,4000.00,tonnes
BANGLADESH,2015,EXPORT QUANTITY,USDA,4000.00,tonnes
BANGLADESH,2014,EXPORT QUANTITY,USDA,25000.00,tonnes
BANGLADESH,1980,EXPORT QUANTITY,USDA,20000.00,tonnes
BANGLADESH,2016,EXPORT VALUE,FAO,4254.00,1000 US$
BANGLADESH,2015,EXPORT VALUE,FAO,6048.00,1000 US$
BANGLADESH,2014,EXPORT VALUE,FAO,4477.00,1000 US$
BANGLADESH,2013,EXPORT VALUE,FAO,3386.00,1000 US$
BANGLADESH,2012,EXPORT VALUE,FAO,2767.00,1000 US$
BANGLADESH,2011,EXPORT VALUE,FAO,821.00,1000 US$
BANGLADESH,2010,EXPORT VALUE,FAO,2922.00,1000 US$
BANGLADESH,2009,EXPORT VALUE,FAO,3455.00,1000 US$
BANGLADESH,2008,EXPORT VALUE,FAO,7063.00,1000 US$
BANGLADESH,2007,EXPORT VALUE,FAO,5973.00,1000 US$
BANGLADESH,2006,EXPORT VALUE,FAO,6034.00,1000 US$
BANGLADESH,2005,EXPORT VALUE,FAO,4054.00,1000 US$
BANGLADESH,2004,EXPORT VALUE,FAO,238.00,1000 US$
BANGLADESH,2003,EXPORT VALUE,FAO,188.00,1000 US$
BANGLADESH,2002,EXPORT VALUE,FAO,242.00,1000 US$
BANGLADESH,2001,EXPORT VALUE,FAO,400.00,1000 US$
BANGLADESH,2000,EXPORT VALUE,FAO,500.00,1000 US$
BANGLADESH,1999,EXPORT VALUE,FAO,130.00,1000 US$
BANGLADESH,1998,EXPORT VALUE,FAO,69.00,1000 US$
BANGLADESH,1997,EXPORT VALUE,FAO,25.00,1000 US$
BANGLADESH,1995,EXPORT VALUE,FAO,37.00,1000 US$
BANGLADESH,1994,EXPORT VALUE,FAO,117.00,1000 US$
BANGLADESH,1993,EXPORT VALUE,FAO,15.00,1000 US$
BANGLADESH,1989,EXPORT VALUE,FAO,4.00,1000 US$
BANGLADESH,1982,EXPORT VALUE,FAO,6837.00,1000 US$
BANGLADESH,1981,EXPORT VALUE,FAO,4.00,1000 US$
BANGLADESH,1978,EXPORT VALUE,FAO,6.00,1000 US$
BANGLADESH,1977,EXPORT VALUE,FAO,8.00,1000 US$
BANGLADESH,2018,IMPORT QUANTITY,USDA,1100000.00,tonnes
BANGLADESH,2017,IMPORT QUANTITY,USDA,1200000.00,tonnes
BANGLADESH,2016,IMPORT QUANTITY,USDA,2348000.00,tonnes
BANGLADESH,2015,IMPORT QUANTITY,USDA,35000.00,tonnes
BANGLADESH,2014,IMPORT QUANTITY,USDA,598000.00,tonnes
BANGLADESH,2013,IMPORT QUANTITY,USDA,1335000.00,tonnes
BANGLADESH,2012,IMPORT QUANTITY,USDA,114000.00,tonnes
BANGLADESH,2011,IMPORT QUANTITY,USDA,53000.00,tonnes
BANGLADESH,2010,IMPORT QUANTITY,USDA,1486000.00,tonnes
BANGLADESH,2009,IMPORT QUANTITY,USDA,660000.00,tonnes
BANGLADESH,2008,IMPORT QUANTITY,USDA,146000.00,tonnes
BANGLADESH,2007,IMPORT QUANTITY,USDA,1658000.00,tonnes
BANGLADESH,2006,IMPORT QUANTITY,USDA,1570000.00,tonnes
BANGLADESH,2005,IMPORT QUANTITY,USDA,531000.00,tonnes
BANGLADESH,2004,IMPORT QUANTITY,USDA,785000.00,tonnes
BANGLADESH,2003,IMPORT QUANTITY,USDA,801000.00,tonnes
BANGLADESH,2002,IMPORT QUANTITY,USDA,1112000.00,tonnes
BANGLADESH,2001,IMPORT QUANTITY,USDA,313000.00,tonnes
BANGLADESH,2000,IMPORT QUANTITY,USDA,401000.00,tonnes
BANGLADESH,1999,IMPORT QUANTITY,USDA,638000.00,tonnes
BANGLADESH,1998,IMPORT QUANTITY,USDA,1220000.00,tonnes
BANGLADESH,1997,IMPORT QUANTITY,USDA,2520000.00,tonnes
BANGLADESH,1996,IMPORT QUANTITY,USDA,60000.00,tonnes
BANGLADESH,1995,IMPORT QUANTITY,USDA,665000.00,tonnes
BANGLADESH,1994,IMPORT QUANTITY,USDA,1567000.00,tonnes
BANGLADESH,1993,IMPORT QUANTITY,USDA,290000.00,tonnes
BANGLADESH,1991,IMPORT QUANTITY,USDA,34000.00,tonnes
BANGLADESH,1990,IMPORT QUANTITY,USDA,24000.00,tonnes
BANGLADESH,1989,IMPORT QUANTITY,USDA,123000.00,tonnes
BANGLADESH,1988,IMPORT QUANTITY,USDA,583000.00,tonnes
BANGLADESH,1987,IMPORT QUANTITY,USDA,394000.00,tonnes
BANGLADESH,1986,IMPORT QUANTITY,USDA,724000.00,tonnes
BANGLADESH,1985,IMPORT QUANTITY,USDA,81000.00,tonnes
BANGLADESH,1984,IMPORT QUANTITY,USDA,226000.00,tonnes
BANGLADESH,1983,IMPORT QUANTITY,USDA,642000.00,tonnes
BANGLADESH,1982,IMPORT QUANTITY,USDA,50000.00,tonnes
BANGLADESH,1981,IMPORT QUANTITY,USDA,247000.00,tonnes
BANGLADESH,1980,IMPORT QUANTITY,USDA,34000.00,tonnes
BANGLADESH,1979,IMPORT QUANTITY,USDA,187000.00,tonnes
BANGLADESH,1978,IMPORT QUANTITY,USDA,652000.00,tonnes
BANGLADESH,1977,IMPORT QUANTITY,USDA,18000.00,tonnes
BANGLADESH,1976,IMPORT QUANTITY,USDA,404000.00,tonnes
BANGLADESH,1975,IMPORT QUANTITY,USDA,280000.00,tonnes
BANGLADESH,1974,IMPORT QUANTITY,USDA,440000.00,tonnes
BANGLADESH,1973,IMPORT QUANTITY,USDA,58000.00,tonnes
BANGLADESH,1972,IMPORT QUANTITY,USDA,171000.00,tonnes
BANGLADESH,1971,IMPORT QUANTITY,USDA,658000.00,tonnes
BANGLADESH,1970,IMPORT QUANTITY,USDA,348000.00,tonnes
BANGLADESH,1969,IMPORT QUANTITY,USDA,510000.00,tonnes
BANGLADESH,1968,IMPORT QUANTITY,USDA,240000.00,tonnes
BANGLADESH,1967,IMPORT QUANTITY,USDA,283000.00,tonnes
BANGLADESH,1966,IMPORT QUANTITY,USDA,372000.00,tonnes
BANGLADESH,1965,IMPORT QUANTITY,USDA,330000.00,tonnes
BANGLADESH,1964,IMPORT QUANTITY,USDA,82000.00,tonnes
BANGLADESH,1963,IMPORT QUANTITY,USDA,283000.00,tonnes
BANGLADESH,1962,IMPORT QUANTITY,USDA,419000.00,tonnes
BANGLADESH,1961,IMPORT QUANTITY,USDA,229000.00,tonnes
BANGLADESH,1960,IMPORT QUANTITY,USDA,492000.00,tonnes
BANGLADESH,2016,IMPORT VALUE,FAO,19599.00,1000 US$
BANGLADESH,2015,IMPORT VALUE,FAO,405843.00,1000 US$
